run_id,timestep,agent_id,role,x,y,status,degree,avg_snr_db,avg_rate_mbps
run_greedy_dara_1000,0,0,ground_a,0.0,0.0,active,1,51.321088944580694,170.485073655211
run_greedy_dara_1000,0,1,ground_b,134.39999999999998,0.0,active,1,51.321088944580694,170.485073655211
run_greedy_dara_1000,0,2,relay,22.389999999999993,0.0,active,2,55.00612254247676,182.72644686454427
run_greedy_dara_1000,0,3,relay,44.79999999999999,0.0,active,2,51.31851739482036,170.47653121485473
run_greedy_dara_1000,0,4,relay,67.19999999999999,0.0,active,2,51.319374811716415,170.47937947110617
run_greedy_dara_1000,0,5,relay,89.59999999999998,0.0,active,2,51.318517394820354,170.4765312148547
run_greedy_dara_1000,0,6,relay,112.00999999999999,0.0,active,2,55.00612254247675,182.72644686454424
run_greedy_dara_1000,1,0,ground_a,0.0,0.0,active,1,51.32280237681378,170.49076551190316
run_greedy_dara_1000,1,1,ground_b,134.39999999999998,0.0,active,1,51.3228023768138,170.49076551190322
run_greedy_dara_1000,1,2,relay,22.379999999999992,0.0,active,2,55.007398900221865,182.7306868446678
run_greedy_dara_1000,1,3,relay,44.79999999999999,0.0,active,2,51.31765962731178,170.47368179391054
run_greedy_dara_1000,1,4,relay,67.19999999999999,0.0,active,2,51.319374811716415,170.47937947110617
run_greedy_dara_1000,1,5,relay,89.59999999999998,0.0,active,2,51.31765962731178,170.47368179391054
run_greedy_dara_1000,1,6,relay,112.02,0.0,active,2,55.007398900221865,182.7306868446678
run_greedy_dara_1000,2,0,ground_a,0.0,0.0,active,1,51.324515108711964,170.4964550421668
run_greedy_dara_1000,2,1,ground_b,134.39999999999998,0.0,active,1,51.324515108711964,170.4964550421668
run_greedy_dara_1000,2,2,relay,22.36999999999999,0.0,active,2,55.00867586100465,182.73492882806116
run_greedy_dara_1000,2,3,relay,44.79999999999999,0.0,active,2,51.31680150904184,170.47083120777933
run_greedy_dara_1000,2,4,relay,67.19999999999999,0.0,active,2,51.319374811716415,170.47937947110617
run_greedy_dara_1000,2,5,relay,89.59999999999998,0.0,active,2,51.31680150904184,170.47083120777933
run_greedy_dara_1000,2,6,relay,112.03,0.0,active,2,55.00867586100465,182.73492882806116
run_greedy_dara_1000,3,0,ground_a,0.0,0.0,active,1,51.326227140570964,170.50214224698433
run_greedy_dara_1000,3,1,ground_b,134.39999999999998,0.0,active,1,51.32622714057098,170.50214224698433
run_greedy_dara_1000,3,2,relay,22.35999999999999,0.0,active,2,55.009953425528984,182.7391728170626
run_greedy_dara_1000,3,3,relay,44.79999999999999,0.0,active,2,51.31594303986149,170.46797945596586
run_greedy_dara_1000,3,4,relay,67.19999999999999,0.0,active,2,51.319374811716415,170.47937947110617
run_greedy_dara_1000,3,5,relay,89.59999999999998,0.0,active,2,51.31594303986149,170.46797945596586
run_greedy_dara_1000,3,6,relay,112.04,0.0,active,2,55.009953425528984,182.7391728170626
run_greedy_dara_1000,4,0,ground_a,0.0,0.0,active,1,51.32793847268604,170.50782712733647
