iteration,val_success,val_mean_time,mean_return,log_std,wall_clock_s
1,0.7,67.4,557.4102401686871,-1.000349998474121,12.49426510000194
5,1.0,65.7,556.3695943740147,-1.0001752376556396,12.220772900000156
