seed,num_drones,fail_agent_id,DARA_Success,DARA_Time,DARA_SumRate,GNN_Success,GNN_Time,GNN_SumRate
1000,7,5,True,72,881.2138658049411,False,78,714.8742301336761
1001,9,3,True,72,1223.325337872811,True,74,1223.7984453755585
1002,9,5,True,62,1224.4839344774437,True,55,1224.2775183038502
1003,9,7,True,72,1223.3253378728105,True,66,1224.379143271175
1004,11,7,True,62,1566.190633443015,True,63,1566.3910783274273
1005,9,2,True,103,1223.1738168815798,True,96,1224.431255193525
1006,7,3,True,90,881.246547298003,True,76,882.5751624093385
1007,11,4,True,62,1565.4201612149484,True,54,1566.0811998202091
1008,7,3,True,90,881.246547298003,True,76,882.5095543540644
1009,7,4,True,62,881.7338615411358,True,56,881.0654256198811
1010,7,2,True,103,881.0513597407984,True,100,881.6928018500812
1011,11,6,True,62,1566.5923370243527,True,59,1566.4411429262755
1012,11,3,True,72,1564.9383452607356,True,75,1566.1127388978075
1013,7,6,True,103,881.0513597407981,True,99,881.4078992120268
1014,9,4,True,62,1223.9217639392557,True,55,1223.8176943224998
1015,11,9,True,90,1564.9739675074786,True,70,1566.0945340837134
1016,7,3,True,90,881.246547298003,True,76,882.5095543540644
1017,7,3,True,90,881.246547298003,True,76,882.5751624093385
1018,9,3,True,72,1223.325337872811,True,74,1223.7984453755585
1019,9,8,True,103,1223.1738168815793,True,93,1224.6832068574236
1020,9,7,True,72,1223.3253378728105,True,66,1224.379143271175
1021,9,3,True,72,1223.325337872811,True,74,1223.7984453755585
1022,7,5,True,72,881.2138658049411,True,78,881.1534729832654
1023,7,4,True,62,881.7338615411358,False,56,692.6470304156262
1024,9,3,True,72,1223.325337872811,True,76,1223.731324042066
1025,11,10,True,103,1564.6466924322074,True,94,1566.2490902253937
1026,9,4,True,62,1223.9217639392557,True,55,1223.5234171307334
1027,11,5,True,62,1566.5518833335357,True,55,1565.9588636854587
1028,9,5,True,62,1224.4839344774437,True,55,1224.1610049198673
1029,11,2,True,103,1564.646692432207,True,94,1565.9988342711556
1030,9,3,True,72,1223.325337872811,True,74,1223.7984453755585
1031,9,2,True,103,1223.1738168815798,True,96,1224.431255193525
1032,7,4,True,62,881.7338615411358,True,56,881.1111739661951
1033,11,9,True,90,1564.9739675074786,True,71,1566.078970706268
1034,11,9,True,90,1564.9739675074786,True,72,1566.0350993764928
