desc,seed,num_drones,reconnect_rel,snap_150,snap_300,k20_150,k20_300,drops_after,disagreement,category
"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,9,52.0,True,True,True,True,0,False,6. Tight-Margin Geometry
"N=9, d=189m (margin 1.00m), Fail 4@t=10",2052,9,68.0,True,True,True,True,0,False,6. Tight-Margin Geometry
"N=9, d=192m (margin 0.57m), Fail 5@t=10",2053,9,57.0,True,True,True,False,2,True,6. Tight-Margin Geometry
"N=9, d=195m (margin 0.14m), Fail 5@t=10",2054,9,91.0,True,True,True,True,4,False,6. Tight-Margin Geometry
"N=11, d=180m, Fail [5,6,7]@t=10 (Adj Center)",2071,11,71.0,True,True,True,True,0,False,7. Triple Simultaneous Failure
"N=11, d=180m, Fail [3,6,9]@t=10 (Spread)",2072,11,18.0,True,True,True,True,1,False,7. Triple Simultaneous Failure
"N=11, d=180m, Fail [2,3,4]@t=10 (Cluster Near-A)",2073,11,128.0,True,True,False,True,0,True,7. Triple Simultaneous Failure
"N=11, d=180m, Fail [4,5,8]@t=10 (Asymmetric)",2074,11,53.0,True,True,True,True,1,False,7. Triple Simultaneous Failure
"N=9, d=200m, Adversarial Cut-Vertex -> Relay 2 (Gap: 50.0m)",2081,9,,False,False,False,False,0,False,8. Adversarial Cut-Vertex
"N=11, d=200m, Adversarial Cut-Vertex -> Relay 2 (Gap: 40.0m)",2082,11,26.0,True,True,True,True,0,False,8. Adversarial Cut-Vertex
"N=9, d=180m, Clustered + Adversarial -> Relay 2 (Gap: 180.0m)",2083,9,48.0,True,True,True,True,0,False,8. Adversarial Cut-Vertex
"N=11, d=210m, Tight Chain + Adversarial -> Relay 2 (Gap: 42.0m)",2084,11,39.0,True,True,True,True,0,False,8. Adversarial Cut-Vertex
"45° + Double Fail [4,7]@t=10 (N=11, d=200m)",2091,11,42.0,True,True,True,True,0,False,9. Compound Stressors
Tight-Margin d=188m + Late Fail@t=80 (N=9),2092,9,54.0,True,True,False,True,0,True,9. Compound Stressors
"60° + Cascade Fail 5@10,7@30 (N=11, d=200m)",2093,11,48.0,True,True,True,True,0,False,9. Compound Stressors
"Jitter + Double Fail [4,8]@t=10 (N=11, d=190m)",2094,11,32.0,True,True,True,True,0,False,9. Compound Stressors
"N=9, d=170m, Agent 4 Rc=22m, Fail 6@t=10",2111,9,44.0,True,True,True,True,0,False,11. Comm-Range Heterogeneity
"N=9, d=165m, Agents 3,6 Rc=22m, Fail 5@t=10",2112,9,,False,False,False,False,0,False,11. Comm-Range Heterogeneity
"N=11, d=180m, Agents 4,8 Rc=22m, Fail 6@t=10",2113,11,24.0,True,True,True,True,0,False,11. Comm-Range Heterogeneity
"N=11, d=185m, Agent 5 Rc=20m, Fail 7@t=10",2114,11,23.0,True,True,True,True,0,False,11. Comm-Range Heterogeneity
