Checkpoint,Val 25 Success,Val 25 Time,Seen 35 Success,Seen 35 Time,Held-Out 15 Success,Held-Out 15 Time,All 50 Success,All 50 Time,All 50 Sum-Rate
Iter 1,0.88,70.8,0.8857142857142857,72.71428571428571,1.0,73.06666666666666,0.92,72.82,1202.1765890604352
Iter 5,1.0,69.12,1.0,70.51428571428572,1.0,71.4,1.0,70.78,1217.0450067188258
Iter 10,0.96,68.4,1.0,69.48571428571428,1.0,70.46666666666667,1.0,69.78,1217.2404142635655
Iter 15,0.92,65.04,0.8857142857142857,66.85714285714286,0.9333333333333333,67.0,0.9,66.9,1199.3042322478927
