step,connected,sum_rate,min_slack,max_link_dist
0,True,1423.8975198482497,1.375,20.625
1,True,1423.8975198482497,1.375,20.625
2,True,1423.8975198482497,1.375,20.625
3,True,1423.8975198482497,1.375,20.625
4,True,1423.8975198482497,1.375,20.625
5,True,1423.8975198482497,1.375,20.625
6,True,1423.8975198482497,1.375,20.625
7,True,1423.8975198482497,1.375,20.625
8,True,1423.8975198482497,1.375,20.625
9,True,1423.8975198482497,1.375,20.625
10,False,1080.988516418766,-19.25,41.25
11,False,1080.9883588851737,-19.250000000000007,41.25000000000001
12,False,1080.9883384901302,-19.250000000000007,41.25000000000001
13,False,1080.989319586683,-19.250000000000007,41.25000000000001
14,False,1080.9894258667023,-19.250000000000007,41.25000000000001
15,False,1080.9911773557708,-19.250000000000007,41.25000000000001
16,False,1080.9907754146966,-19.250000000000007,41.25000000000001
17,False,1080.9925719874636,-19.250000000000014,41.250000000000014
18,False,1080.991264053419,-19.250000000000007,41.25000000000001
19,False,1080.986009901311,-19.250000000000007,41.25000000000001
20,False,1080.9835124547249,-19.250000000000007,41.25000000000001
21,False,1080.9842960352694,-19.250000000000007,41.25000000000001
22,False,1080.9884038612372,-19.25,41.25
23,False,1080.9962761713336,-19.249999999999993,41.24999999999999
24,False,1080.9996031576263,-19.249999999999993,41.24999999999999
25,False,1080.9964221027415,-19.249999999999993,41.24999999999999
26,False,1080.9992031639144,-19.249999999999986,41.249999999999986
27,False,1081.0074010770852,-19.249999999999986,41.249999999999986
28,False,1081.0207540428735,-19.249999999999986,41.249999999999986
29,False,1081.0262386273866,-19.249999999999986,41.249999999999986
30,False,1081.021889166643,-19.249999999999993,41.24999999999999
31,False,1081.0266137752778,-19.249999999999986,41.249999999999986
32,False,1081.0314332540138,-19.249999999999993,41.24999999999999
33,False,1081.025108703775,-19.25,41.25
34,False,1081.0070012249817,-19.250000000000007,41.25000000000001
35,False,910.3059110201758,-19.250000000000014,41.250000000000014
36,False,910.3608606000287,-19.250000000000007,41.25000000000001
37,False,910.4089474669008,-19.250000000000014,41.250000000000014
38,False,910.4535773916023,-19.250000000000014,41.250000000000014
39,False,910.4972152790751,-19.250000000000014,41.250000000000014
40,False,910.5225382583044,-19.250000000000007,41.25000000000001
41,False,910.5288575256043,-19.250000000000007,41.25000000000001
42,False,910.5455951608258,-19.250000000000014,41.250000000000014
43,False,910.6013195601499,-19.25000000000002,41.25000000000002
44,False,910.6300484183199,-19.250000000000014,41.250000000000014
45,False,910.6692336165083,-19.25000000000002,41.25000000000002
46,False,910.7548503274388,-19.25000000000002,41.25000000000002
47,False,910.7975217832758,-19.25000000000002,41.25000000000002
48,False,910.841573699233,-19.250000000000014,41.250000000000014
49,False,910.8876661406514,-19.250000000000014,41.250000000000014
50,False,910.9060125240801,-19.250000000000007,41.25000000000001
51,False,910.9346858395504,-19.250000000000007,41.25000000000001
52,False,910.9719059258948,-19.250000000000007,41.25000000000001
53,False,910.985090078556,-19.250000000000014,41.250000000000014
54,False,911.0141926947327,-19.25000000000002,41.25000000000002
