step,bp_conn,bp_rate,bp_min_slack,bp_max_dist,bp_mean_spd,bp_max_spd,b_conn,b_rate,b_min_slack,b_max_dist,b_mean_spd,b_max_spd
0,True,1785.9649457956007,3.9675695942210396,18.049944601991555,0.16795672660557068,0.5077664416981886,True,1785.9725587553007,3.9559631443290364,18.04904280385149,0.4883766296864095,0.5604776887681628
1,True,1785.929495341326,3.9050073613536327,18.14979257477932,0.3433966222283387,1.008894970001475,True,1785.9575639887562,3.8907322196612206,18.148023046763917,0.825504779316151,1.0931990897260306
2,True,1785.869520318307,3.8121256794914586,18.2994861680463,0.5206648807990714,1.5061123834386074,True,1785.9392807503548,3.803138029892761,18.29713270719948,0.9597052285919205,1.626133440660139
3,True,1785.780083965351,3.7032965053652482,18.498857762937117,0.6866521616306257,2.0010753098232703,True,1785.9154883629294,3.7132946438949013,18.49636838449602,1.3372973353513302,2.1270445854018467
4,True,1785.666370743815,3.592053357338699,18.744570137880096,0.8379095857534765,2.464304679260432,True,1785.8862033517362,3.6083311492201062,18.745614230001717,1.5657307171586075,2.6166572885382458
5,True,1785.5906707947438,3.497435091787697,18.989809082991407,0.9351658674602721,2.460075459166463,True,1785.863270798554,3.5355809716544186,19.03256251187213,1.8049518075425992,2.9532890656118265
6,True,1785.5837201381876,3.4359353359541736,19.207790950777852,1.0009656572697319,2.1823000053202253,True,1785.8573987391214,3.503618669124073,19.34224031623668,1.9522749009512228,3.151416688090325
7,True,1785.642754430182,3.4047863630126116,19.395747478965216,1.0606950071932113,2.043857821457563,True,1785.881888033086,3.538743730699238,19.660418939038042,2.136928737605749,3.215643197414899
8,True,1785.7647592075602,3.409267947072273,19.550619856700795,1.1246795149018014,2.23215709678502,True,1785.9739632800963,3.6430460442327153,19.95634026138177,2.264447321572495,3.299782841496154
9,True,1785.954167132847,3.451128948089327,19.664496126027213,1.1695411603223427,2.4541398120641644,True,1786.1225650514723,3.805765057708502,20.20478912647224,2.37719283385162,3.580245306683012
10,False,1440.8861352354459,-8.448705067228012,36.44870506722801,1.2741605524440098,2.5523409721853128,False,1440.8059628469662,-8.121849119292435,36.121849119292435,2.311236360291681,3.8348248937706275
11,False,1441.217393564063,-8.482429379672986,36.482429379672986,1.2629058479116908,2.3855847667636363,False,1440.9704437579992,-8.127659681563557,36.12765968156356,2.2561301611627904,4.001729032786868
12,False,1441.5213639807826,-8.475872959421302,36.4758729594213,1.2633255614097005,2.4966359871686605,False,1441.1154444610172,-8.129563979424276,36.129563979424276,2.1354258699522606,4.217937755460917
13,False,1441.768089746461,-8.423557571679282,36.42355757167928,1.2772117066744553,2.8040346481461214,False,1441.218217355698,-8.100072364798166,36.100072364798166,2.0475212217582763,4.588614024772142
14,False,1441.9424029163197,-8.327845514067548,36.32784551406755,1.251297406582092,3.0206079138973285,False,1441.2659362789382,-8.037099707949722,36.03709970794972,1.9297401599625876,4.835668182513235
15,False,1442.033531474736,-8.189940575532312,36.18994057553231,1.2100834578220407,3.207981767708912,False,1441.276952003536,-7.924778978755143,35.92477897875514,1.8991902030725263,5.1231170542024556
16,False,1442.044975556452,-8.017325991644952,36.01732599164495,1.1864078493813341,3.372500816754455,False,1441.2122367973514,-7.745019835370542,35.74501983537054,1.9206941986318014,5.351369410849395
17,False,1441.980114088765,-7.814229405695066,35.814229405695066,1.1689865844663534,3.510977435389854,False,1441.1227102158443,-7.488942086767423,35.48894208676742,1.9688200141351062,5.545405337454164
18,False,1441.8425271042768,-7.583003248357393,35.58300324835739,1.2132326054027907,3.6077935904385288,False,1440.985281639954,-7.1542520979380555,35.154252097938055,2.009563659723441,5.689275121188884
19,False,1441.6224395805382,-7.3159665192213055,35.315966519221305,1.2640852028683707,3.642088039466961,False,1440.81656117189,-6.744175498006733,34.74417549800673,2.0739621304182068,5.809329579928908
20,False,1441.2959538984046,-7.001035405369805,35.001035405369805,1.3901926170733256,3.6329141603474278,False,1440.5954178518052,-6.2625949432011865,34.26259494320119,2.0813499046276243,5.779288643709004
21,False,1440.88715151023,-6.635054132829296,34.635054132829296,1.5499313602259313,3.69055512555272,False,1269.7128223567227,-5.719224924313075,33.719224924313075,2.0287044158732197,5.290806711172312
22,False,1440.3624372800402,-6.216934326950344,34.216934326950344,1.7354330770187243,3.6051004162229043,False,1269.5985553496982,-5.152059111108983,33.15205911110898,1.9650129191203212,4.794774535378009
23,False,1439.7259258383267,-5.747226977739956,33.747226977739956,1.8734373944740077,3.6076712318560067,False,1269.4286420317133,-4.561526384346813,32.56152638434681,1.9538015126099184,4.359685567396149
24,False,1439.01746276391,-5.227595248795531,33.22759524879553,1.938728778753072,3.7152840096729793,False,1098.6200637989969,-3.955770122847248,31.955770122847248,1.921519360912076,4.65047121019441
25,False,1438.3215369969062,-4.659488160858494,32.659488160858494,1.9187281964918905,3.7979214582151166,False,1098.5908807925102,-3.321188765960372,31.321188765960372,1.8731368734428286,5.077465058887314
26,False,1437.6507658072032,-4.044789251411942,32.04478925141194,1.897806629927879,3.853987865125922,False,1098.549541436935,-2.6594358466073302,30.65943584660733,1.8455643100308645,5.486938193181014
27,False,1266.3593049050348,-3.3856173324728154,31.385617332472815,1.8720291393594883,3.882430130841575,False,1098.508165770925,-1.9716035127039397,29.97160351270394,1.8936493957086467,5.887626104433138
28,False,1265.8019654249256,-2.714108721037242,30.714108721037242,1.7880729432782543,3.65799398569653,False,1098.4745296174447,-1.340930326513817,29.261808372719944,1.937604658044454,6.260303418856206
29,False,1265.2417965610014,-2.031380600063816,30.031380600063816,1.775871702809858,3.6750676773627733,False,1098.4629428737992,-1.3309720133164156,28.537622598235686,1.9606897656417694,6.609653607032173
30,False,1264.6693844758165,-1.3470316257656876,29.347031625765688,1.818812621842266,3.985511889219571,False,1265.4830821825803,-1.2786471387740832,27.80095348080478,1.9928968000042229,6.943137391787961
31,False,1264.098112725544,-0.6645007961603042,28.664500796160304,1.8811982630294777,4.250940475961336,False,1265.9588110738116,-1.2040770883962644,27.072350443744327,1.9935995581834691,6.90294059353606
32,False,1430.442225146645,-0.15040905595197174,27.981679718670375,1.9508745042974773,4.5031356990441465,False,1266.349328763807,-1.1086335903887026,26.351035457677654,2.0265402610311622,6.895722192509205
33,False,1430.375685114321,-0.06610114847165605,27.308891764471095,1.9836481523605474,4.502722499155497,False,1266.631354870388,-0.9939496701370523,25.62477362595739,2.0679150062421483,6.970312390823956
34,True,1601.0483091377614,0.029054314246103274,26.66596236037415,1.925747874185645,4.274063645593849,False,1266.783266391905,-0.8622226170977214,24.899372557398543,2.0747913203284103,6.951476145769729
35,True,1601.0523919384666,0.12912588001648473,26.069964807561956,1.9097938936171786,3.8136004717657204,False,1437.6334703800378,-0.715216449847194,24.194525864825984,2.042903087816514,6.734987830623413
36,True,1601.067863556245,0.2324108405212293,25.521791827359117,1.881431734564169,3.648369375992992,False,1437.6983077799107,-0.5531688508588566,23.52436472963682,1.9851713873418926,6.365416853235416
37,True,1601.0867231531233,0.33616899292271185,25.021359776381853,1.8581792826058254,3.678156660319439,False,1437.6292657333618,-0.37289734148173537,22.893199736882053,1.852657245174496,5.976825446229334
38,True,1601.0779146972054,0.4394411389145887,24.56828808590563,1.8719580055459635,3.696254471202614,False,1437.506583306014,-0.16903929077990298,22.305025800162877,1.702570131235344,5.597807901285519
39,True,1601.0267769882469,0.5424556452702767,24.161110250050147,1.9060901003669786,3.717653494896108,False,1437.4445882804953,-0.1108662109258951,22.110866210925895,1.5104560646327476,5.200033506339291
40,True,1600.935298457143,0.6443036860448181,23.79198710922558,1.9601030305994178,3.7467790133831067,False,1437.6599778685195,-0.5183142275958161,22.518314227595816,1.4401762624192553,4.834367931336457
41,True,1600.8142989963771,0.742825708546583,23.449236125010263,2.0105956501965587,3.782397617122359,False,1437.7957841668613,-0.8822278020162919,22.882227802016292,1.476429564301136,4.666538064316316
42,True,1600.6781848362994,0.8381603380767899,23.119669060589853,2.076683921492957,3.8373881736536806,False,1437.8518105185485,-1.1981065079491664,23.198106507949166,1.5518823564577642,4.475331171006509
43,True,1600.5228708388925,0.9295397633799709,22.784824321426377,2.1170326524253484,3.8721835428035978,False,1437.8042099276454,-1.4636138417294973,23.463613841729497,1.6397546378158485,4.283955306842204
44,True,1600.3540699625491,1.0175365504956666,22.433979670810963,2.1394967152166764,3.912524044739153,False,1437.6691498894884,-1.686149676012608,23.686149676012608,1.747304690279396,4.072568697254289
45,True,1600.1763053836721,1.1041651947115767,22.0504074001748,2.138432540853051,3.9760818157104394,False,1437.4693103210313,-1.8650784882945182,23.865078488294518,1.760566250697653,3.783685309264319
46,True,1599.9981654307182,1.005026674418211,21.63163748519523,2.1096109659723883,3.9628003578333106,False,1437.2165924155552,-1.9971151091858985,23.9971151091859,1.680700989968714,3.38008028700006
47,True,1599.819893792274,0.91040953715056,21.187800164306548,2.074070469054858,3.7643284246232405,False,1436.9264082465345,-2.090106742289361,24.09010674228936,1.6651025348034088,3.058715934375166
48,True,1599.6372034100943,0.843767513510624,21.156232486489376,2.0696157004208304,3.442366540417363,False,1265.9006212206416,-2.1309894696027065,24.130989469602707,1.6100910750224222,2.630764940813372
49,True,1599.448955109293,0.8087974253813925,21.191202574618607,2.05813815987916,3.170633588387161,False,1265.5998346199121,-2.1372542391638234,24.137254239163823,1.5988280298972457,2.3329461645948535
50,True,1599.2554214338816,0.8057542685157664,21.194245731484234,2.0131319901678237,2.955919890150172,False,1265.232669173701,-2.100045233965215,24.100045233965215,1.526778184048569,2.325283829975542
51,True,1599.0523278662902,0.8160374946825186,21.18396250531748,1.9375261831386354,2.952246715138465,False,1264.8041931426008,-2.0178113092486,24.0178113092486,1.477440789634855,2.3126505591223077
52,True,1598.8373001972318,0.8233391646233414,21.17666083537666,1.8710885075646808,2.9670352944206364,False,1264.3226613690558,-1.8900942731372865,23.890094273137287,1.4396663480757639,2.2745647290047
53,True,1598.614776497902,0.8265395983186998,21.1734604016813,1.7882953566642592,2.9584886505932304,False,1263.8012311694952,-1.7185644233838353,23.718564423383835,1.432969135713973,2.2328869469382235
54,True,1598.386564924762,0.824795153155641,21.17520484684436,1.7106108703345662,2.892679095054922,False,1263.2973571038863,-1.5062702848600722,23.506270284860072,1.3673811669079503,2.245330212332044
55,True,1598.1538894137468,0.808547120673115,21.191452879326885,1.6415222737221824,2.8664853620717285,False,1262.805314582975,-1.2570505879240805,23.25705058792408,1.37710244345076,2.2580820601349316
56,True,1597.9249060700724,0.7756617463148956,21.224338253685104,1.590406659919336,2.823567158988967,False,1262.271230166679,-0.9737503558763301,22.97375035587633,1.4315682820675155,2.2711159122917204
57,True,1597.6965035457997,0.7160405464335575,21.283959453566442,1.5187873173565845,2.9132976121107665,False,1261.6976591194114,-0.6602036959334541,22.660203695933454,1.4690596035141552,2.2840340268857866
58,True,1597.4895522578734,0.6543010847825705,21.34569891521743,1.4419417618577617,2.8564596742385056,False,1261.0953365453086,-0.632537447977267,22.632537447977267,1.4921405493751616,2.292258901307037
59,True,1597.3159383175691,0.5935160731100453,21.406483926889955,1.3431012090358645,2.8119891722791173,False,1431.202894149662,-0.6678304319347141,22.667830431934714,1.4997891198778488,2.5881021571763134
60,True,1597.176117694374,0.5351084582816981,21.464891541718302,1.2775255103779408,2.77489878239689,False,1430.80518711962,-0.6700999101567469,22.670099910156747,1.4605037948898916,2.726899019851366
61,True,1597.0964934080757,0.48037700509495096,21.51962299490505,1.1855747814667952,2.7712537163063713,False,1430.3904448829958,-0.638812574485403,22.638812574485403,1.4765405346572473,2.2570877192120884
62,True,1597.0622096429702,0.42850977678390123,21.5714902232161,1.1263392298451576,2.767609723270133,False,1429.9593807914632,-0.5759540222989905,22.734912378972588,1.476035202922761,2.253480745855052
63,True,1597.0516997825332,0.380746139428485,21.619253860571515,1.167764523595857,2.7620730553332695,False,1429.5218508437777,-0.48519693109563633,22.836127367692438,1.4612946373509068,2.250261752187108
64,True,1597.0377168333089,0.3376720334872516,21.697391014551087,1.196397615061777,2.758432312325977,False,1429.0833513874625,-0.36829927862308764,22.934670768293714,1.445804383108948,2.2363919403483523
65,True,1597.0053317975714,0.3018332104512602,21.89053604515137,1.234656114378534,2.7547926587990954,False,1428.6580117362614,-0.22608450882151132,23.021490070296526,1.41963968722917,2.5416713186042004
66,True,1596.938610125236,0.2754109948971717,22.06788404582073,1.2999200249405796,2.7511540990766257,False,1428.1973687705638,-0.056717688603043825,23.114537407352998,1.4338061671168933,2.892040093887935
67,True,1596.8501859585726,0.26012695789870577,22.237813402034487,1.3125079075497783,2.7475166375041713,True,1598.4968488428117,0.1337653814303721,23.231883192466434,1.48338846704663,3.1992675055011075
68,True,1596.7465872559976,0.25750409662782303,22.406377450905286,1.3187311114336002,2.7438802784490646,True,1598.1785739979607,0.2963095085012597,23.3097747032067,1.3329471786971347,3.434225942178999
69,True,1596.6333318639147,0.26854755093057747,22.57823993886501,1.3302635850928362,2.7655368858850755,True,1597.9236611100066,0.4363382001646485,23.367428016892294,1.2369629180399528,3.653151093390505
70,True,1596.5134669376655,0.29764743343785227,22.7565480399697,1.3179596070894215,2.905650681786093,True,1597.7551837735055,0.4450960748775685,23.481647025161607,1.0538999855889764,3.811879985129532
71,True,1596.389911932567,0.3495809724286296,22.940980585990594,1.2863223555696366,3.0427623429090294,True,1597.6084253120835,0.5104584067073787,23.52037166624858,1.0195669031510906,3.9405972973760472
72,True,1596.2642958940094,0.4342137526841263,23.12925691741136,1.2799014289136155,3.172770943512658,True,1597.5338646279704,0.6309005393851592,23.547892923886288,0.9689304749143204,4.0503291101049745
73,True,1596.1350351068895,0.5572413028891532,23.317478283962704,1.2987535512972956,3.2848509963435064,True,1597.5197867493282,0.8052232813213323,23.551711739070768,1.0609818335258185,4.129696597578713
74,True,1595.9967112870459,0.705274803955767,23.501212017460485,1.3463176436298228,3.368589815885232,True,1597.5843124444718,0.8569190690382769,23.555348846296187,1.1370366130678433,3.7678822153027784
75,True,1595.844384453321,0.8690937940170187,23.676420581556744,1.4043909920732065,3.425824844044035,True,1597.7130411694168,0.8979922070094055,23.538171813081398,1.1612526663108138,3.3302446436027453
