Epoch,Train_MSE_Loss,Val_MSE_Loss
1,1.6176241774786086,1.6092719971364742
2,1.388201060976301,1.2324716963760909
3,1.130392100697472,1.1465368387382477
4,1.0918554907753355,1.1142179600442095
5,1.0848962288811093,1.0997230212740223
6,1.0749538334778377,1.0921901676882546
7,1.062813940956479,1.093454248733996
8,1.0592060207185292,1.1059456948605588
9,1.0400826574507214,1.077327352227987
10,1.0321152752921694,1.048771262083707
11,1.0247396491822742,1.06210266429432
12,1.014619555019197,1.0531940442615277
13,1.0115173258100236,1.06642225309774
14,1.0046113930429732,1.0437783881582852
15,1.004919726962135,1.0394581021038105
16,0.988853702204568,1.0307804980553643
17,0.9917104668844314,1.0181374459021857
18,0.9850715821129935,1.0154172269858066
19,0.9819604437691825,1.001157464886173
20,0.9689599553743998,1.0784970733518935
21,0.9607413754009065,0.9899028740637005
22,0.9645374268577213,1.0127837965251612
23,0.9408822775454748,0.9837053281059932
24,0.9379721330461048,0.9536046704853929
25,0.9343189978599549,0.9622109588260562
26,0.9254459801174345,0.9636753324971679
27,0.911016028424104,0.9770620041499136
28,0.9111788359710148,0.9825357142465544
29,0.9140199334280832,0.9582341234603275
30,0.8938768407276698,0.9778635743890689
