seed,num_drones,fail_agent_id,DARA_Success,DARA_Time,DARA_SumRate,GNN_Success,GNN_Time,GNN_SumRate
1035,7,5,True,72,881.2138658049411,True,78,881.1534729832654
1036,11,5,True,62,1566.5518833335357,True,55,1566.5629395345281
1037,9,6,True,62,1223.9217639392555,True,59,1224.2482163684936
1038,7,6,True,103,881.0513597407981,True,99,881.3020572366321
1039,7,4,True,62,881.7338615411358,True,56,881.0654256198811
1040,7,6,True,103,881.0513597407981,True,100,881.3417880390848
1041,9,3,True,72,1223.325337872811,True,76,1223.731324042066
1042,7,4,True,62,881.7338615411358,True,56,881.0654256198811
1043,9,5,True,62,1224.4839344774437,True,55,1224.150227457326
1044,11,9,True,90,1564.9739675074786,True,72,1566.0350993764928
1045,9,2,True,103,1223.1738168815798,True,98,1223.9499139346171
1046,11,2,True,103,1564.646692432207,True,95,1566.3006758097727
1047,11,10,True,103,1564.6466924322074,True,94,1566.1104844172723
1048,9,4,True,62,1223.9217639392557,True,55,1223.8176943224998
1049,11,4,True,62,1565.4201612149484,True,54,1565.9544913054042
