step,bp_conn,bp_rate,bp_min_slack,bp_max_dist,bp_mean_spd,bp_max_spd,b_conn,b_rate,b_min_slack,b_max_dist,b_mean_spd,b_max_spd
0,True,1782.3104202627085,1.497413150129404,18.54994363126552,0.18603223917631986,0.5114547176885348,True,1782.3139897854142,1.4998353616004572,18.54915782335093,0.484793094056595,0.55450048419523
1,True,1782.277703963797,1.48402010800433,18.649790233231787,0.3771821006235918,1.0104408087788659,True,1782.296253039821,1.4984167076177037,18.648176710936134,0.8868266787397358,1.0862958982407076
2,True,1782.2187725867846,1.469780995838395,18.79952562452007,0.5534945340194697,1.5073561539495233,True,1782.2713552963119,1.4887911239803806,18.797205007890973,0.9808492945335002,1.6202978892318176
3,True,1782.1317212097672,1.4604671748383673,18.998981456473686,0.7305997018168482,2.00199441123401,True,1782.2384033066394,1.472657622564757,18.99624328825342,1.353039749057804,2.1246948301090915
4,True,1782.0290626336603,1.463525427093991,19.23854489146344,0.9011904637805236,2.4036394855793763,True,1782.1987662780455,1.4324697950657708,19.245026911569767,1.5920454943313502,2.610764777881402
5,True,1781.977757954031,1.4164921320910437,19.46322735416719,1.0085342016090426,2.2558654686182926,True,1782.176375226417,1.4055062827592657,19.52524097820008,1.8516375632797275,2.891282741263885
6,True,1781.9968945208718,1.3487568722233334,19.655415177646734,1.0847318329659412,1.9224968217236391,True,1782.1678318166255,1.3502813944589036,19.82880993815827,1.9954863786732089,3.094248524105036
7,True,1782.0832493392395,1.2628614086839747,19.81326918911241,1.158604246350747,2.130283872906525,True,1782.1836822157672,1.2954913360317448,20.134313329721188,2.157309032646083,3.0952133180944004
8,True,1782.2371708449232,1.1608875880229625,19.929000358358483,1.2159342756749156,2.3712127727891543,True,1782.2237631345383,1.217670721141161,20.405076580361015,2.2285357772630223,3.2638913477976708
9,True,1782.4500152389135,1.0510603021976053,20.00072601233535,1.2586052009619808,2.4653374437194735,True,1782.2944407283092,1.1421647484479003,20.62674422554628,2.304408814091011,3.54572757287325
10,False,1437.4476410697516,-8.593638448134286,36.593638448134286,1.3276638897006015,2.857268628531656,False,1437.0369504236169,-8.430607325182386,36.430607325182386,2.1901665142235833,3.9695159919435574
11,False,1437.593078203964,-8.377018480403251,36.37701848040325,1.4662114154872778,3.28135501689536,False,1436.995880915988,-8.19127568767614,36.19127568767614,2.1978378564429555,4.33685993505048
12,False,1437.674566340873,-8.083246020556516,36.083246020556516,1.5564944411894972,3.6323227896229637,False,1436.8963283918204,-7.868054094065606,35.868054094065606,2.140601968330312,4.60647328227266
13,False,1265.9204862381448,-7.712738392737542,35.71273839273754,1.6569329260993697,3.939783841205763,False,1436.7542105937277,-7.465886442212174,35.465886442212174,2.165546469624631,4.913867481617007
14,False,1266.0062156950157,-7.321525633212403,35.3215256332124,1.6976212839294285,4.171806697302316,False,1436.5480023508783,-6.990540970814848,34.99054097081485,2.149809635842641,5.196250815864415
15,False,1266.0051836514087,-6.90997070436854,34.90997070436854,1.751440779600491,4.384873273118708,False,1264.5381475144493,-6.450934774586166,34.450934774586166,2.2147964977598527,5.39213130782297
16,False,1265.9273640289368,-6.4753533849407106,34.47535338494071,1.717183894148002,3.888384109142592,False,1264.3528090102898,-5.891757859612611,33.89175785961261,2.1395621594377223,4.988656950828519
17,False,1265.772611943306,-6.022144079807028,34.02214407980703,1.706909322730169,3.578741366475603,False,1264.1533364356444,-5.322631954526734,33.322631954526734,2.0563028577432974,5.184760226194716
