iteration,mean_return,log_std,val_25_success,val_25_time,seen_35_success,seen_35_time
1,563.26507712576,-1.000003695487976,96.0,64.45833333333333,97.14285714285714,65.76470588235294
2,474.92163886105,-1.0001332759857178,84.0,71.19047619047619,94.28571428571428,70.33333333333333
3,339.52056931099986,-1.0002027750015259,96.0,69.25,88.57142857142857,70.41935483870968
4,484.84455772193604,-1.0011332035064697,92.0,67.65217391304348,82.85714285714286,69.17241379310344
5,470.2348128695606,-1.0003527402877808,88.0,68.0,91.42857142857143,67.21875
6,408.40456532338385,-1.000140905380249,92.0,64.30434782608695,88.57142857142857,65.51612903225806
7,406.1319286396636,-0.9995609521865845,96.0,63.541666666666664,97.14285714285714,64.3529411764706
8,406.34321436082564,-0.9994076490402222,92.0,62.17391304347826,91.42857142857143,63.03125
9,405.46009948156996,-0.999226450920105,100.0,60.0,94.28571428571428,61.515151515151516
10,409.64525465525264,-0.9989840984344482,92.0,61.52173913043478,88.57142857142857,63.225806451612904
11,406.95709533328,-0.998731255531311,96.0,59.958333333333336,91.42857142857143,60.4375
12,414.3063359505978,-0.9985159635543823,88.0,60.90909090909091,82.85714285714286,61.37931034482759
13,475.64662191601894,-0.9980963468551636,88.0,59.59090909090909,85.71428571428571,61.266666666666666
14,408.5765472805177,-0.99782395362854,96.0,60.5,88.57142857142857,61.096774193548384
15,408.44940148842227,-0.9976581335067749,92.0,60.391304347826086,91.42857142857143,60.625
