desc,seed,num_drones,reconnect_rel,first_conn,snap_150,snap_300,k20_150,k20_300,drops_after,sum_rate,infeasible_qp,category
"N=11, d=200m, Fail 5@t=10, 7@t=30",2013,11,47.0,77.0,True,True,True,True,0,1398.1685315313782,0,2. Cascading Failure
"N=11, d=200m, Fail 4@t=10, 3@t=30 (Adj)",2014,11,50.0,80.0,True,True,True,True,0,1397.3408060465956,0,2. Cascading Failure
"N=15, d=350m, Fail 7@t=10 (Center)",2021,15,66.0,76.0,True,True,True,True,0,2223.154823978895,0,3. Scale Test (Large Swarm)
"N=15, d=350m, Fail 4@t=10 (Near-A)",2022,15,101.0,111.0,True,True,True,True,0,2222.2944490871,0,3. Scale Test (Large Swarm)
"N=21, d=500m, Fail 10@t=10 (Center)",2023,21,92.0,102.0,False,False,False,False,1,0.0,0,3. Scale Test (Large Swarm)
"N=21, d=500m, Fail 5@t=10 (Near-A)",2024,21,,,False,False,False,False,0,0.0,0,3. Scale Test (Large Swarm)
"N=9, d=180.0m, 45.0°",2031,9,46.0,56.0,True,True,True,True,0,1223.2731991228743,0,4. Non-Collinear Corridor
"N=9, d=180.0m, 53.1°",2032,9,46.0,56.0,True,True,True,True,0,1223.4503347398784,0,4. Non-Collinear Corridor
"N=11, d=200.0m, 45.0°",2033,11,20.0,30.0,True,True,True,True,0,1584.4664398041843,0,4. Non-Collinear Corridor
"N=11, d=200.0m, 60.0°",2034,11,21.0,31.0,True,True,True,True,0,1584.4578595903922,0,4. Non-Collinear Corridor
"N=11, d=200.0m, 17.0°",3001,11,21.0,31.0,True,True,True,True,0,1584.464605595392,0,4. Non-Collinear Corridor
"N=9, d=180.0m, 73.0°",3002,9,46.0,56.0,True,True,True,True,0,1223.453499782188,0,4. Non-Collinear Corridor
"N=11, d=200.0m, 112.0°",3003,11,20.0,30.0,True,True,True,True,0,1584.4821758735206,0,4. Non-Collinear Corridor
"N=9, d=180.0m, 200.0°",3004,9,46.0,56.0,True,True,True,True,0,1223.5628612402463,0,4. Non-Collinear Corridor
"N=9, d=200m, Fail 5@t=1 (Extreme Early)",2041,9,,,False,False,False,False,0,0.0,0,5. Failure Timing Extremes
"N=11, d=200m, Fail 6@t=1 (Extreme Early)",2042,11,21.0,22.0,True,True,True,True,0,1584.4922625979848,0,5. Failure Timing Extremes
"N=9, d=200m, Fail 5@t=140 (10 ticks left)",2043,9,,,False,False,False,False,0,0.0,0,5. Failure Timing Extremes
"N=11, d=200m, Fail 6@t=140 (10 ticks left)",2044,11,24.0,164.0,False,True,False,True,0,1584.4831031202505,0,5. Failure Timing Extremes
"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,9,52.0,62.0,True,True,True,True,0,1219.6834544216792,0,6. Tight-Margin Geometry
"N=9, d=189m (margin 1.00m), Fail 4@t=10",2052,9,68.0,78.0,True,True,True,True,0,1216.2742684969496,0,6. Tight-Margin Geometry
"N=9, d=192m (margin 0.57m), Fail 5@t=10",2053,9,57.0,67.0,True,True,True,True,0,1213.3856737165931,0,6. Tight-Margin Geometry
"N=9, d=195m (margin 0.14m), Fail 5@t=10",2054,9,91.0,101.0,True,True,True,True,2,1210.9147885416069,0,6. Tight-Margin Geometry
"N=11, d=180m, Fail [5,6,7]@t=10 (Adj Center)",2071,11,71.0,81.0,True,True,True,True,0,1225.560996984296,0,7. Triple Simultaneous Failure
"N=11, d=180m, Fail [3,6,9]@t=10 (Spread)",2072,11,18.0,28.0,True,True,True,True,1,1222.896167794655,2,7. Triple Simultaneous Failure
"N=11, d=180m, Fail [2,3,4]@t=10 (Cluster Near-A)",2073,11,128.0,138.0,True,True,False,True,0,1223.733511995108,0,7. Triple Simultaneous Failure
"N=11, d=180m, Fail [4,5,8]@t=10 (Asymmetric)",2074,11,53.0,63.0,True,True,True,True,1,1221.6608263595658,0,7. Triple Simultaneous Failure
"N=9, d=200m, Adversarial Cut-Vertex -> Relay 2 (Gap: 50.0m)",2081,9,,,False,False,False,False,0,0.0,0,8. Adversarial Cut-Vertex
"N=11, d=200m, Adversarial Cut-Vertex -> Relay 2 (Gap: 40.0m)",2082,11,26.0,36.0,True,True,True,True,0,1584.767132057014,0,8. Adversarial Cut-Vertex
"N=9, d=180m, Clustered + Adversarial -> Relay 2 (Gap: 180.0m)",2083,9,48.0,58.0,True,True,True,True,0,1223.382804128893,0,8. Adversarial Cut-Vertex
"N=11, d=210m, Tight Chain + Adversarial -> Relay 2 (Gap: 42.0m)",2084,11,39.0,49.0,True,True,True,True,0,1576.9806943538852,0,8. Adversarial Cut-Vertex
"45° + Double Fail [4,7]@t=10 (N=11, d=200m)",2091,11,42.0,52.0,True,True,True,True,0,1397.762790987598,0,9. Compound Stressors
Tight-Margin d=188m + Late Fail@t=80 (N=9),2092,9,56.0,136.0,True,True,False,True,0,1216.8301024616771,0,9. Compound Stressors
"60° + Cascade Fail 5@10,7@30 (N=11, d=200m)",2093,11,48.0,78.0,True,True,True,True,0,1396.3447404147348,0,9. Compound Stressors
"Jitter + Double Fail [4,8]@t=10 (N=11, d=190m)",2094,11,32.0,42.0,True,True,True,True,0,1404.3842671260281,0,9. Compound Stressors
"N=9, d=170m, Agent 4 Rc=22m, Fail 6@t=10",2111,9,42.0,52.0,True,True,True,True,2,1230.575519527183,2,11. Comm-Range Heterogeneity
"N=9, d=165m, Agents 3,6 Rc=22m, Fail 5@t=10",2112,9,,,False,False,False,False,0,0.0,0,11. Comm-Range Heterogeneity
"N=11, d=180m, Agents 4,8 Rc=22m, Fail 6@t=10",2113,11,24.0,34.0,True,True,True,True,0,1560.1318946879162,0,11. Comm-Range Heterogeneity
"N=11, d=185m, Agent 5 Rc=20m, Fail 7@t=10",2114,11,23.0,33.0,True,True,True,True,0,1595.9889383385266,0,11. Comm-Range Heterogeneity
