seed,num_drones,fail_agent_id,iter10_success,iter10_time,iter10_sum_rate,iter15_success,iter15_time,iter15_sum_rate
1006,7,3,True,72,881.8699853015875,False,71,695.1447020338476
1017,7,3,True,72,881.8699853015875,False,71,695.1447020338476
1022,7,5,True,78,880.9254977380447,False,75,714.1756741343656
1023,7,4,True,54,882.0154045109075,False,51,692.4487128951233
1035,7,5,True,78,880.9254977380447,False,75,714.1756741343656
