scenario_idx,desc,seed,d_ab,fail_id,tick,connected,solver_status,min_slack,min_slack_u,min_slack_v,max_speed,chain_order,max_chain_dist,max_chain_link,chain_dists_str
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,14,False,DISCONNECTED_BYPASS,-157.0,0,1,1.3236369470067963,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",45.44216676531651,"(np.int64(4), np.int64(6))",0-2:23.27;2-3:23.27;3-4:23.29;4-6:45.44;6-7:23.38;7-8:23.22;8-1:23.12
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,15,False,DISCONNECTED_BYPASS,-157.0,0,1,1.5176420926977046,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",45.19235964930652,"(np.int64(4), np.int64(6))",0-2:23.31;2-3:23.32;3-4:23.30;4-6:45.19;6-7:23.42;7-8:23.28;8-1:23.18
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,16,False,DISCONNECTED_BYPASS,-157.0,0,1,1.6571774570922677,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",44.91973201345755,"(np.int64(4), np.int64(6))",0-2:23.38;2-3:23.34;3-4:23.32;4-6:44.92;6-7:23.46;7-8:23.33;8-1:23.26
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,17,False,DISCONNECTED_BYPASS,-157.0,0,1,1.7634241821945966,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",44.62907772127219,"(np.int64(4), np.int64(6))",0-2:23.43;2-3:23.39;3-4:23.33;4-6:44.63;6-7:23.48;7-8:23.40;8-1:23.34
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,18,False,DISCONNECTED_BYPASS,-157.0,0,1,1.8451724935664555,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",44.323267100898384,"(np.int64(4), np.int64(6))",0-2:23.46;2-3:23.43;3-4:23.38;4-6:44.32;6-7:23.50;7-8:23.50;8-1:23.40
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,19,False,DISCONNECTED_BYPASS,-157.0,0,1,1.9101131116187238,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",44.00417550426146,"(np.int64(4), np.int64(6))",0-2:23.47;2-3:23.48;3-4:23.45;4-6:44.00;6-7:23.58;7-8:23.53;8-1:23.48
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,20,False,DISCONNECTED_BYPASS,-157.0,0,1,1.9539444038789004,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",43.674370818151914,"(np.int64(4), np.int64(6))",0-2:23.50;2-3:23.53;3-4:23.51;4-6:43.67;6-7:23.65;7-8:23.60;8-1:23.54
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,21,False,DISCONNECTED_BYPASS,-157.0,0,1,1.9784957271912196,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",43.33601393195954,"(np.int64(4), np.int64(6))",0-2:23.56;2-3:23.56;3-4:23.56;4-6:43.34;6-7:23.71;7-8:23.66;8-1:23.61
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,22,False,DISCONNECTED_BYPASS,-157.0,0,1,1.9952668100036655,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",42.99036802860566,"(np.int64(4), np.int64(6))",0-2:23.63;2-3:23.58;3-4:23.61;4-6:42.99;6-7:23.78;7-8:23.72;8-1:23.69
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,23,False,DISCONNECTED_BYPASS,-157.0,0,1,2.004011930010874,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",42.638903393071374,"(np.int64(4), np.int64(6))",0-2:23.69;2-3:23.63;3-4:23.66;4-6:42.64;6-7:23.83;7-8:23.82;8-1:23.73
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,24,False,DISCONNECTED_BYPASS,-157.0,0,1,2.020844898102585,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",42.28189691900008,"(np.int64(4), np.int64(6))",0-2:23.72;2-3:23.70;3-4:23.71;4-6:42.28;6-7:23.90;7-8:23.89;8-1:23.80
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,25,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0462536746202673,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",41.91998498702357,"(np.int64(4), np.int64(6))",0-2:23.75;2-3:23.78;3-4:23.76;4-6:41.92;6-7:23.98;7-8:23.93;8-1:23.89
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,26,False,DISCONNECTED_BYPASS,-157.0,0,1,2.055285708682298,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",41.55440994848165,"(np.int64(4), np.int64(6))",0-2:23.82;2-3:23.81;3-4:23.82;4-6:41.55;6-7:24.06;7-8:24.01;8-1:23.93
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,27,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0592926360155817,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",41.186429580821674,"(np.int64(4), np.int64(6))",0-2:23.88;2-3:23.85;3-4:23.88;4-6:41.19;6-7:24.14;7-8:24.07;8-1:23.99
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,28,False,DISCONNECTED_BYPASS,-157.0,0,1,2.063299660685691,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",40.813771476623295,"(np.int64(4), np.int64(6))",0-2:23.92;2-3:23.91;3-4:23.94;4-6:40.81;6-7:24.20;7-8:24.13;8-1:24.08
