step,connected,sum_rate,min_slack,max_link_dist,mean_speed,max_speed
0,True,1785.9659278549723,3.9675695838177774,18.04918064473348,0.16709380016546704,0.4999999999999999
1,True,1785.931687091569,3.9050074276777558,18.14807718237161,0.3421705571920821,0.999335863762002
2,True,1785.872893046982,3.812125681284442,18.29682155436223,0.5192695287904127,1.4966121976178086
3,True,1785.7845943303575,3.703296448948368,18.495248728695813,0.6851869444930396,1.9916098582647979
4,True,1785.6716284010442,3.5920529933987204,18.740295178865015,0.8365664719069864,2.457557088207929
5,True,1785.596066854167,3.4974344552451626,18.985349124580644,0.9342579453257385,2.45815672496654
6,True,1785.5887172835892,3.435934219514909,19.20359544168176,1.0003970690337445,2.1850414366309208
7,True,1785.6473705522167,3.404784222294065,19.391816590379385,1.0599103095368474,2.0438575672404165
8,True,1785.7683251037718,3.4092653584141743,19.547549985835136,1.1244953018560269,2.226985394640981
9,True,1785.9564968761383,3.4511262945380103,19.662481504671053,1.1698044956038574,2.4498438904719206
10,False,1440.8871046943061,-8.448523648860743,36.44852364886074,1.274589685494958,2.5504624719356253
11,False,1441.2174607040397,-8.48216405542788,36.48216405542788,1.2646302790226827,2.388699338923229
12,False,1441.5205960516093,-8.475645729853582,36.47564572985358,1.2648020745583182,2.4935032151800685
13,False,1441.7669784538716,-8.423399605300425,36.423399605300425,1.2782333149844973,2.8019696521697357
14,False,1441.9411666407138,-8.327752986329614,36.327752986329614,1.2523765803170335,3.0200119627905906
15,False,1442.032238070568,-8.189910854464948,36.18991085446495,1.211138208979054,3.2068769678583084
16,False,1442.0436597722596,-8.017356840067869,36.01735684006787,1.1871439716032097,3.3715209476529475
17,False,1441.9788317015834,-7.814323360931333,35.81432336093133,1.1695820057951183,3.5102148881473605
18,False,1441.841668415605,-7.583156922301804,35.583156922301804,1.2121750315994184,3.6076168695092563
19,False,1441.6226530933084,-7.316736846933111,35.31673684693311,1.2638415523475648,3.6422168368694803
20,False,1441.2971672728497,-7.00259568750527,35.00259568750527,1.3894922517174368,3.6356935184349637
21,False,1440.8883529182297,-6.637446600613771,34.63744660061377,1.5495524191178105,3.6897811136726175
22,False,1440.3640088470518,-6.220147385125358,34.22014738512536,1.7354503441509344,3.61421244658711
23,False,1439.7279843128877,-5.751323880049618,33.75132388004962,1.873507478232777,3.6076662541529156
24,False,1439.0203294996008,-5.232565725327667,33.23256572532767,1.9382403560180324,3.7152787665045035
25,False,1438.3251725587108,-4.665301663287771,32.66530166328777,1.9181486515017045,3.7979162547320025
26,False,1437.6550793134372,-4.051453496642573,32.05145349664257,1.897161392353602,3.85398304117624
27,False,1266.3639836761117,-3.3931551504541346,31.393155150454135,1.872201846204942,3.88242534656988
28,False,1265.8068609041943,-2.7225196057646954,30.722519605764695,1.7885127713676794,3.657991637572492
29,False,1265.2469526063478,-2.0405341657762968,30.040534165776297,1.7761631832904807,3.6678936525277774
30,False,1264.674479214573,-1.3566984588277435,29.356698458827744,1.8181925904342306,3.980261008543037
31,False,1264.1029842491919,-0.6745578697914247,28.674557869791425,1.8810909723852784,4.24692305551525
32,False,1430.4399518663013,-0.15039472758297023,27.992134374982342,1.9496964938219636,4.499408797628937
33,False,1430.3734552162866,-0.0660875810824173,27.31955383623818,1.9828132471100264,4.501523754934553
34,True,1601.0459223298594,0.029067109404739,26.67658213697531,1.9255744575294154,4.276199053858686
35,True,1601.0497734190933,0.12716286995161497,26.0805195685977,1.909719179706432,3.816508138653117
36,True,1601.0645630027968,0.22712560471483556,25.532252576978642,1.882491949633548,3.615493360025313
37,True,1601.0817751085135,0.3278121858089662,25.031766324301564,1.8597322700064343,3.647909390645539
38,True,1601.0708946998654,0.4279961235326901,24.5786156784708,1.8724810126599332,3.6656029277746818
39,True,1601.017504354209,0.5277145359371289,24.171600918567286,1.9038804632679387,3.6848017936128867
40,True,1600.9239515468735,0.6243735817455338,23.80258049657976,1.9531201584283073,3.6965102724571786
41,True,1600.8027516056902,0.7154791277931416,23.46051166122288,2.003252169015365,3.711198018712094
42,True,1600.6650354508286,0.8005018631575354,23.133873011482265,2.0720861853285504,3.735922490020466
43,True,1600.5081764571355,0.8792890336863906,22.80746651970264,2.1219029058788945,3.7536246083837677
44,True,1600.3350986933528,0.9525099662794858,22.475063074646012,2.16027715060639,3.786261254513119
45,True,1600.1571594697414,1.021472139391733,22.136432990147327,2.1809734635954223,3.8057510955809053
46,True,1599.9757692506569,1.0871530875558193,21.787853622869502,2.191386638254473,3.802037462080207
47,True,1599.7938115630645,1.0795486653999369,21.417143104483078,2.1715162771269285,3.7629607124116644
48,True,1599.609889961646,1.0087637952629152,21.02266745913179,2.1141008603352054,3.6464293420175493
49,True,1599.4200339805527,0.9646306753630469,21.035369324636953,1.9963226648486037,3.303074488557356
50,True,1599.2256185422054,0.9463418860984731,21.053658113901527,1.9053546280087494,3.092965739489533
51,True,1599.0272684848408,0.9497131635499407,21.05028683645006,1.8424630136372313,2.8984606637577963
52,True,1598.8254158025873,0.9659425484858168,21.034057451514183,1.7770491738514662,2.7796708000742467
53,True,1598.6183008435407,0.9690822990752572,21.030917700924743,1.7346250980414761,2.8061962393102036
54,True,1598.4079263794472,0.9615636395823408,21.03843636041766,1.6683277707315982,2.8215954049940435
55,True,1598.1880737915585,0.9458733573602167,21.054126642639783,1.5995330871499742,2.7175670797190246
56,True,1597.9582943926225,0.9235029791372327,21.076497020862767,1.5381885007330858,2.5646648088730166
57,True,1597.7194016485573,0.8963292446244289,21.10367075537557,1.4753422213240608,2.360471573426183
58,True,1597.4985163462657,0.8653912396970291,21.161233089571645,1.3826236414588782,2.2154954288375346
59,True,1597.32373454947,0.8317135456793814,21.334013887076598,1.2610893389161717,2.0902367825451003
60,True,1597.183283686488,0.7961445275163364,21.46109853821626,1.1443178250900825,1.971417208336547
61,True,1597.0811133387915,0.7597646351766443,21.540034858239153,1.0152543948891095,1.9434890897160995
62,True,1597.021972763311,0.7234298745627079,21.572299169006904,0.8678337656132283,1.9475577147925396
63,True,1596.995494170899,0.6869640556407113,21.562687536580064,0.7892797775928229,1.8103691807246336
64,True,1597.0228487424915,0.655546136407029,21.507768943597092,0.8192404034022565,1.7624255200988572
65,True,1597.07800885262,0.6290861353062631,21.557619040967403,0.8888370603617399,1.731931483625646
66,True,1597.0935414422236,0.6165397860498629,21.747443345275535,0.8689098665183589,1.6911750279290838
67,True,1597.087104771372,0.6213572797521465,21.907034179772996,0.8564484092523466,1.7357271773422818
68,True,1597.0467314453329,0.6476296274222442,22.0382082623141,0.906131232645272,1.8314208597667572
69,True,1596.9805066680651,0.6931510018285181,22.14380841617903,0.9559622228784659,1.8541423571837905
70,True,1596.9040766774172,0.7498577837587419,22.239994649397133,1.0463332995690293,1.863141821157892
71,True,1596.8235712668097,0.8086640672402474,22.330969684873416,1.1397875898088283,1.864252894316077
72,True,1596.734714210425,0.8687447879619583,22.4158337436883,1.2099204963531953,1.892661314012605
73,True,1596.6400629754344,0.9338751424261673,22.49413169827356,1.2327062820475558,1.9123395994875152
74,True,1596.5390691417517,1.0084856764400527,22.565639155500595,1.2259181930709713,1.8772405380168204
75,True,1596.4328041642843,1.0974721349266225,22.630085314422722,1.1391918561638046,1.8914787324991513
76,True,1596.3261394102149,1.208978791629015,22.687087912473075,1.1078461334690113,1.9070118049652967
77,True,1596.217499414759,1.3457807948208966,22.735051982655587,1.0405044714788794,1.9138080435370353
78,True,1596.1035796486008,1.5096407741434206,22.771602404880635,0.9822324202571542,1.9097770436833612
79,True,1595.978951268955,1.6985456306441336,22.788536796585948,1.0578081860978386,1.8626656367859336
80,True,1595.8400755341631,1.8746096120171494,22.950122861322548,1.119154096561946,1.8634701922731531
81,True,1595.688171206666,2.011881288645778,23.152686732483488,1.1557008455565925,2.034418318778366
82,True,1595.5301594370915,2.15807588586512,23.366509569289004,1.2230299974905199,2.1445651838633157
83,True,1595.3696528401806,2.3112842117689176,23.586538620498334,1.2289671405852973,2.2051330049404263
84,True,1595.2079354697569,2.473072493533685,23.808766868280266,1.2760975491992,2.226065787783996
85,True,1595.0456841434593,2.6505534433570404,24.030074999776044,1.3622638589729918,2.215934228565603
86,True,1594.8804137089999,2.84153069578797,24.248060457693146,1.4681367294333154,2.214848091798024
87,True,1594.714278557219,3.016493989239315,24.460910419820724,1.4969224853361842,2.26910876922195
88,True,1594.5505444345904,2.8865031470882663,24.66728860163425,1.479034223289882,2.2470885936930536
89,True,1594.3943333119485,2.7524216472372665,24.86624267015084,1.3978662928840313,2.1794457312867075
90,True,1594.2430244752566,2.616624100938793,25.057126867499708,1.3208727386760628,2.1034210928316797
91,True,1594.0790174498848,2.4809863315419136,25.23953853153675,1.2499523959519048,2.0211746092584555
92,True,1593.9219688403416,2.3470331756177103,25.41326672544426,1.2092054699608568,1.9292616388625898
93,True,1593.7758704177256,2.2159374806180665,25.57824975780017,1.1720788632253263,1.7949957628849624
94,True,1593.6409507680046,2.088530337340085,25.73454162908651,1.1352632040311104,1.5988957681234248
95,True,1593.5197454193753,1.9654250022935997,25.88228016177974,1.0952189063541309,1.518546183535892
96,True,1593.41051201344,1.8470297806530773,26.02167935133073,1.0628429572584215,1.5229229559465014
97,True,1593.3089069371588,1.7335272579328702,26.152992081382745,1.0612941591172214,1.682523729877596
98,True,1593.2071179739132,1.632502855098128,26.276504018506472,1.110668179717646,1.7724158901145104
99,True,1593.0943608451914,1.5536985259009057,26.39252723598994,1.1633185783899442,1.8382521845372544
100,True,1592.9551437629832,1.4986084765620795,26.50139152343792,1.1313392786835412,1.8659027248539248
101,True,1592.8133568916523,1.396564377297377,26.603435622702623,1.119654949979426,1.914498260205407
102,True,1592.6672136786954,1.3010012824051387,26.69899871759486,1.159498172483071,2.128823588398878
103,True,1592.53242443767,1.2115843316376456,26.788415668362354,1.2469446812946456,2.15973253931715
104,True,1592.4191926735846,1.127978845254244,26.872021154745756,1.3503848453994198,2.1671036370339487
105,True,1592.3279559208056,1.0498548539087302,26.95014514609127,1.4450001594250148,2.204211600958739
106,True,1592.248721201055,0.976890425565113,27.023109574434887,1.5015044787931635,2.35553509928136
107,True,1592.1857780445998,0.9087745119139647,27.091225488086035,1.5487757926907046,2.428922002532839
108,True,1592.127724178208,0.8452137057237437,27.154786294276256,1.595583178225716,2.482804962629411
109,True,1592.0862673284898,0.7859295903118344,27.214070409688166,1.6628263224552,2.752675521816967
110,True,1592.0441780967892,0.7306574482462338,27.269342551753766,1.6519461580768457,2.8222235855647195
111,True,1592.0112933208115,0.6791446093033322,27.320855390696668,1.6685997141650133,2.82023174944492
112,True,1591.9752296565925,0.6311540232246671,27.368845976775333,1.6139189097073934,2.8146175101502715
113,True,1591.9419704328452,0.5888770189668868,27.411122981033113,1.656346697175901,2.8154514948200786
114,True,1591.912672640103,0.557102951766062,27.442897048233938,1.5809972864140072,2.8208539252142626
115,True,1591.8914009845048,0.5398233478238268,27.460176652176173,1.6005817541747924,2.8279253529871657
116,True,1591.8788734019772,0.5396111679534705,27.46038883204653,1.5136953034992642,2.8344620617943064
117,True,1591.8828209452126,0.5658055587117445,27.434194441288255,1.5952220921438287,2.8397936174741205
118,True,1591.9181266596972,0.6386948917242812,27.36130510827572,1.602079712460273,2.845545595849088
119,True,1591.984518185404,0.6878493962440153,27.239982514600978,1.7048569320173415,2.8512450982931137
120,True,1592.0837437231075,0.6611331596085535,27.0694426440913,1.709477984536934,2.8559806489327038
121,True,1592.2145373611545,0.6369772762977846,26.84960983577312,1.8057673501952387,2.8599249270300318
122,True,1592.3788942226845,0.6137107800471249,26.5810278361537,1.806094446555345,2.8480401939430227
123,True,1592.575543108215,0.589485617934443,26.264750235299037,1.8950511258606066,3.2705779816891076
124,True,1592.8047280197632,0.564168582846321,25.90440374548567,1.8881790142552992,3.7132439643865465
125,True,1593.0595168884074,0.538241580228771,25.50933806207171,1.9667938439281032,4.062923371913778
126,True,1593.331436863633,0.5120912719281492,25.094653785643693,1.9252924633305284,4.261364673423108
127,True,1593.6139512428392,0.48603190126379303,24.667838422876823,1.972077389740373,4.382951876374864
128,True,1593.9104462559203,0.46031426916032103,24.230206916423626,1.9219758782480838,4.488361296025293
129,True,1594.2168287345964,0.43513596706608837,23.781483904642236,1.978995431492275,4.592950179131759
130,True,1594.537360794714,0.4106487386362687,23.32550912717434,1.9411797159845228,4.657958699402693
131,True,1594.862608865656,0.38696870443648024,22.86918511630051,1.9757797186998953,4.657046896189982
132,True,1595.1914463658347,0.36419512104569307,22.41855984551622,1.9429823122423955,4.600255431551616
133,True,1595.5164637680016,0.3424201440316246,21.979897780205835,1.9659373409737662,4.480266984678168
134,True,1595.8185329987164,0.3217336469618175,21.75969224974595,1.9052645028747928,4.124379555660049
135,True,1596.0805740598832,0.3021618550363563,22.09999244615963,1.892026854647265,3.6477409224531816
136,True,1596.3008192032266,0.28368100343416813,22.403219631384797,1.8303695795848394,3.15078392639955
137,True,1596.4791478385835,0.2662552779367111,22.671289718588735,1.830096540901689,2.744265689753234
138,True,1596.6143390479615,0.24984583059284304,22.9029865751263,1.7742847838297253,2.7606385068006736
139,True,1596.7017756155512,0.23441576129461694,23.096911120368194,1.7894209221677415,2.776469143818528
140,True,1596.742704134652,0.21994816193614852,23.252760038449576,1.7309242556477735,2.7971905118641405
141,True,1596.7328590445688,0.20788216521181724,23.369768843238482,1.7514219210178856,2.807741241368259
142,True,1596.673591351087,0.19853822082638573,23.44658918324349,1.6888148800938558,2.8108447348804706
143,True,1596.5633904888518,0.1904592259286524,23.48015456538304,1.7609668025684828,2.8050938938184222
