iteration,val_success,val_mean_time,mean_return,log_std,wall_clock_s
1,0.88,70.8,557.4102401686871,-1.000349998474121,15.333729600002698
5,1.0,69.12,556.3695943740147,-1.0001752376556396,15.117054200003622
10,0.96,68.4,574.6203028791267,-0.9989680051803589,15.21283950000361
15,0.92,65.04,566.0455770663841,-0.9986649751663208,15.440298599998641
