step,bp_conn,bp_rate,bp_min_slack,bp_max_dist,bp_mean_spd,bp_max_spd,b_conn,b_rate,b_min_slack,b_max_dist,b_mean_spd,b_max_spd
0,True,1419.9502458387467,0.7067169503071007,21.2932830496929,0.2688408364333796,0.4800322012032061,True,1419.9109550653625,0.7135959361620614,21.296502001639507,0.4330762581161131,0.4923185801343726
1,True,1419.870412421686,0.6850319458560463,21.33806121339138,0.3589588006355814,0.6906065955664635,True,1419.79111432875,0.6892994049516759,21.38551767719631,0.7873341070065738,0.9254578064091583
2,True,1419.8359875971748,0.6580094846515117,21.361100147491833,0.29931679421685164,0.5530172820099434,True,1419.676096727933,0.6995734381518162,21.484732090237273,0.9219415225797165,1.169786071997949
3,True,1419.8583655991265,0.6410653475352568,21.359148716599723,0.3118704856174584,0.6133737200897367,True,1419.5973893831815,0.7351224713524154,21.568637759461943,0.9792166677683397,1.426929746278665
4,True,1419.8840225927918,0.6249103521554424,21.375089647844558,0.3288468799414948,0.9391574709447261,True,1419.5557827252019,0.7718752423994104,21.619868952079354,0.9878019742152541,1.6870798986191653
5,True,1419.885659719946,0.6482528706034749,21.379860912656408,0.29242803765495384,0.6475940964680351,True,1419.5645155710392,0.8282857256186489,21.651622539104633,1.02945669327172,1.7414203787068476
6,True,1419.846673606489,0.6465404254611862,21.408667331290456,0.42302657835848095,0.9387099447092477,True,1419.5602213201805,0.8628962993490958,21.677830813216968,1.042584749682663,1.940283324808581
7,True,1419.8126042727374,0.6907055316035375,21.43389556636005,0.33755566498385337,0.7385079103734808,True,1419.5331870899736,0.8341563295830134,21.70737750957244,0.9696393345729836,1.8877126533797184
8,True,1419.7975525303568,0.72210963183079,21.437661864013325,0.3851476762635347,0.7216236505436306,True,1419.5402012452928,0.8587100300491102,21.727844086036892,0.9605831150113773,1.7159402583087082
9,True,1419.8056938279035,0.7830494046618668,21.43463919850228,0.4806936612073551,0.9248272868972344,True,1419.5648875120964,0.899379754349539,21.75307102722471,0.9896659575279511,1.667762728262156
10,False,1077.518256682924,-14.394196118537089,42.39419611853709,0.5175224521298252,1.0523543761750094,False,1077.4692156930469,-14.659645073534897,42.6596450735349,0.9483645114767585,1.8503715196148744
11,False,1077.3912683655012,-14.192545412997212,42.19254541299721,0.7286952256482137,1.4036741165006852,False,1077.5180557295316,-14.6256732134432,42.6256732134432,1.0400880131069945,1.9523337019652205
